,names,Run Time,imdb_score,val,Writer,film
2589,Dillinger,1 hour 47 minutes,6.9,5.3K,John Milius,Dark Horizon
2590,Monkey Man,not-released,no-rating,0,Paul Angunawela,Gnaw
2591,Our Man Flint,1 hour 48 minutes,6.4,6.5K,Hal Fimberg,Looking-Rhymes
2592,Panipat,2 hours 51 minutes,5.2,5.6K,Ranjeet Bahadur,100 Boyfriends Mixtape (The Demo)
2593,One Piece Film Z,1 hour 48 minutes,7.8,7.2K,Eiichiro Oda,Shakespeare Behind Bars
2594,The Last: Naruto the Movie,"¥120,000,000 (estimated)",7.6,15K,Masashi Kishimoto,Musensöhne
2595,Vigilante,1 hour 30 minutes,6.4,3.8K,Richard Vetere,JFDR - ARTE Concert Festival 2022
2596,Breakout,1 hour 36 minutes,6.1,4K,Howard B. Kreitsek,Io no
2597,Fay Grim,"$126,714",6.1,4.5K,Hal Hartley,The Other Trade
2598,Farewell to the King,1 hour 57 minutes,6.3,2.9K,Pierre Schoendoerffer,Twin
2599,Tanhaji: The Unsung Warrior,2 hours 15 minutes,7.5,29K,Prakash Kapadia,A Real Adventure
2600,No Mercy,2 hours 3 minutes,7.4,8.4K,Hyeong-Joon Kim,My Imaginary Country
2601,No Mercy,1 hour 34 minutes,5.7,856,Min Kim,Virtual Sex with Briana Banks
2602,No Mercy,"$14,000,000 (estimated)",5.7,7.6K,James Carabatsos,The Choice
2603,Saaho,"₹3,500,000,000 (estimated)",5,20K,Sujeeth,The Making of 'American Graffiti'
2604,Atomic Blonde 2,not-released,no-rating,0,Antony Johnston,Censure
2605,Shangri-La Suite,1 hour 30 minutes,5.1,859,Chris Hutton,We Can Be Anything
2606,Chocolate,1 hour 50 minutes,6.9,18K,Napalee,Blót - Torn Between Worlds
2607,Sarpatta Parambarai,not-released,8.6,21K,Tamizh Prabha,Rigor Mortis
2608,The White Buffalo,not-released,6.1,4.5K,Richard Sale,Universal Studios Florida: Experience the Magic of Movies
2609,The Fable,2 hours 3 minutes,6.5,1.8K,Katsuhisa Minami,Giorgio de Chirico. Tra Rivelazione ed Enigma
2610,Wire Room,not-released,no-rating,0,Brandon Stiefer,Louise Attaque - Alcaline le Concert
2611,Tehran,not-released,no-rating,0,Ritesh Shah,"The Rise of DIY Art, Craft, & Design"
2612,The Impact,2 hours 22 minutes,7.3,105,Rob Ayling,The Sophomore From Washington
2613,Asteroid,not-released,4.4,527,Dylan Avery,The Nutcracker
2614,The Jungle Book,1 hour 48 minutes,6.7,4.2K,Laurence Stallings,Marosa di Giorgio: El ruedo en flor
2615,The Jungle Book,"$175,000,000 (estimated)",7.4,274K,Justin Marks,What Belongs to Inuit
2616,Blue Ridge,not-released,4.8,350,Caleb G. Brown,Si Luncai
2617,Foreign Correspondent,"$1,500,000 (estimated)",7.5,21K,Charles Bennett,Laid Up
2618,Speed Zone,1 hour 34 minutes,4.4,3.5K,Michael Short,NEWS FEED ON MY...
2619,Vishwaroopam 2,2 hours 25 minutes,5.8,2.6K,Kamal Haasan,From Liverpool to Stratford
2620,See Spot Run,1 hour 34 minutes,5.3,9.3K,George Gallo,Chacun sa Palestine
2621,The Seven-Ups,"$2,425,000 (estimated)",6.8,5.6K,Albert Ruben,An Elephant on Their Hands
2622,Satya,not-released,8.3,15K,Anurag Kashyap,Rain: Then and Now
2623,Gun Fury,not-released,6,1.6K,Irving Wallace,Venice 70 - Future Reloaded: Franco Piavoli
2624,Archenemy,1 hour 30 minutes,5,3.2K,Adam Egypt Mortimer,I Can't Believe I Took the Whole Thing 5
2625,Bang Bang,2 hours 33 minutes,5.5,24K,Sujoy Ghosh,lovertits
2626,Evel Knievel,1 hour 28 minutes,5.2,961,Alan Caillou,The Ideal Couple
2627,Shogun Assassin,not-released,7.3,10K,Kenji Misumi,There's No Place Like Utopia
2628,Double Take,1 hour 28 minutes,5.3,8.5K,Graham Greene,Mujib: The Making of a Nation
2629,Shadow Force,not-released,no-rating,0,Joe Carnahan,A mi me gusta
2630,Kite,1 hour 30 minutes,4.4,6.2K,Yasuomi Umetsu,Be-Bop High School 9
2631,Into the White,1 hour 44 minutes,7.1,21K,Ole Meldgaard,Kudaikul Mazhai
2632,Violet & Daisy,"$8,000,000 (estimated)",6,13K,Geoffrey Fletcher,Sperm Banks 12
2633,Attack on Titan,not-released,no-rating,0,Hajime Isayama,ChrisBarryFish: Redemption
2634,The Sicilian,1 hour 55 minutes,5.3,5K,Mario Puzo,Interracial Family Affair 3
2635,The Ambulance,1 hour 36 minutes,5.9,3.7K,Larry Cohen,Hard to save
2636,Code of Silence,1 hour 41 minutes,6,8.1K,Michael Butler,Mil caminos tiene la muerte
2637,Godse,not-released,8.2,189,Gopi Ganesh,Death of a Ladies' Man
2638,Ravenous,1 hour 44 minutes,5.8,9.2K,Robin Aubert,Super Natural
2639,Ravenous,1 hour 41 minutes,6.9,40K,Ted Griffin,Cinegael Paradiso
2640,Kuffs,1 hour 42 minutes,5.9,11K,Bruce A. Evans,Trebizondská princezna
2641,George and the Dragon,1 hour 33 minutes,5.6,4K,Tom Reeve,Le gala du Jamel Comedy Club
2642,Pawn Shop Chronicles,1 hour 52 minutes,5.9,11K,Adam Minarovich,Eggy
2643,The Legend of Awesomest Maximus,not-released,4.1,3.2K,Jason Burinescu,21 études à danser
2644,Behind the Curtain of Night,not-released,no-rating,0,Dalibor Stach,Superpower
2645,Women in Cages,not-released,5,1.6K,James H. Watkins,Не Спать! или Школьный День Сурка
2646,Little America,not-released,no-rating,0,Rowan Athale,In Hope of Nothing
2647,Robot Jox,1 hour 25 minutes,5.3,6.4K,Stuart Gordon,"Dr. Mabuse, the Gambler: Part 1 – The Great Gambler"
2648,Aces: Iron Eagle III,1 hour 38 minutes,3.6,3K,Kevin Alyn Elders,Moustafa's Secret
2649,Antitrust,1 hour 48 minutes,6.1,29K,Howard Franklin,Rescue Force
2650,Hit the First Case,not-released,no-rating,0,Rajkummar Rao,Curtains
2651,The Crow: Salvation,1 hour 42 minutes,4.9,12K,James O'Barr,God Vulture and Human
2652,Detour,1 hour 37 minutes,6.2,6K,Christopher Smith,Catch Ball
2653,Dead Reckoning,1 hour 31 minutes,3.7,743,Kristin Alexandre,Monkey King and the City of Demons
2654,When Worlds Collide,"$936,000 (estimated)",6.6,8K,Sydney Boehm,2004 Sound Horizon Chronicle 2nd Remake of the 1st CD Story
2655,Death in Texas,1 hour 41 minutes,5.6,581,Scott Windhauser,Parbat Ke Us Paar
2656,Love and Bullets,not-released,5.6,2K,John Huston,The Timber Getters
2657,Love and Bullets,2 hours 13 minutes,6.5,1.2K,Marco Manetti,Tortoise
2658,Precious Cargo,1 hour 30 minutes,4.6,9.4K,Max Adams,Gun Code
2659,The Package,1 hour 48 minutes,6.4,10K,John Bishop,Parwana
2660,Amazons,not-released,4.3,884,Charles Saunders,Brown Sugar
2661,Dark Tide,"$25,000,000 (estimated)",4.3,8.9K,Amy Sorlie,Circle of Fury
2662,Sands of Iwo Jima,1 hour 40 minutes,7,10K,Harry Brown,Daryl Hall & John Oates: The Last Time
2663,Jagga Jasoos,2 hours 41 minutes,6.3,10K,Shubzz,Catching Junior Tate
2664,Watchers,1 hour 31 minutes,5.3,4.3K,Dean R. Koontz,The Voice of the People
2665,Baaghi 3,"₹550,000,000 (estimated)",2.1,12K,Sajid Nadiadwala,Bad Nauheim: Looking for The King
2666,Enter the Ninja,"$1,500,000 (estimated)",5.1,4.8K,Dick Desmond,De l’Autre Côté
2667,Robot Apocalypse,not-released,3.6,404,Joe Roche,Lesbian Performers of the Year 2016
2668,Proud Mary,1 hour 29 minutes,4.9,9.9K,John Stuart Newman,Black Scorpion Returns
2669,McQ,1 hour 51 minutes,6.2,5.3K,Lawrence Roman,Brett Mycles’ Jackhammer
2670,Ong Bak 2,1 hour 38 minutes,6.2,31K,Panna Rittikrai,Lunar
2671,The Meteor Man,1 hour 40 minutes,5.1,8.3K,Robert Townsend,Forbidden Cinema: Volume 11 - Ultra Rare Blue
2672,Water Gate Bridge,2 hours 33 minutes,5.5,526,Kaige Chen,Boat Film
2673,Missing in Action 2: The Beginning,"$2,410,000 (estimated)",5.2,8.4K,Steve Bing,Wyatt
2674,Sanjuro,1 hour 36 minutes,8,38K,Ryûzô Kikushima,Atmosfields
2675,Looop Lapeta,not-released,5.2,4.2K,Aakash Bhatia,Les vamps - Lucienne fait sa Vamp
2676,Wanted Man,not-released,no-rating,0,Dolph Lundgren,Doc
2677,Gor,1 hour 34 minutes,3.4,2.1K,John Norman,Love on the Sidelines
2678,Arabian Nights,1 hour 26 minutes,6.1,1.5K,Michael Hogan,Little Voice
2679,Arabian Nights,not-released,6.7,8.1K,Pier Paolo Pasolini,Kaoss Sumikura's Kaidan Catharsis Vol. 11
2680,Hell Mountain,not-released,3.6,280,Chris Hyde,Anal Prom Queens
2681,Raze,1 hour 32 minutes,5.1,6.1K,Robert Beaucage,Wishing Stairs
2682,The Sea Wolves,2 hours,6.3,4.7K,James Leasor,Carte De Visite
2683,Torpedo,1 hour 42 minutes,5.9,2.5K,Johan Horemans,Leaving Fear Behind
2684,Machete Kills in Space,not-released,no-rating,0,Robert Rodriguez,Desire
2685,Kill Command,1 hour 39 minutes,5.7,14K,Steven Gomez,Viral
2686,Knock Off,1 hour 31 minutes,4.8,15K,Steven E. de Souza,德云社己亥年封箱庆典
2687,Highwaymen,"$371,396",5.6,8.9K,Craig Mitchell,House: Swan Song
2688,Raw Justice,not-released,4.1,1.3K,David A. Prior,Dorothy and Toto's Storytime: The Wonderful Wizard of Oz Part 1
2689,Arsenal,1 hour 37 minutes,4,4.5K,Jason Mosberg,A Valley Without Trees
2690,Taxi 5,1 hour 42 minutes,4.7,9.4K,Franck Gastambide,Lopez Street
2691,Rebel,not-released,8.1,28,Bilall Fallah,The Royal Ballet: Mayerling
2692,Tom Sawyer & Huckleberry Finn,not-released,5.1,946,Jo Kastner,「Daoko A(nima) HAPPY NEW TOUR 2021」
2693,The Villain,2 hours 9 minutes,6.5,19K,Tushar Hiranandani,Pražský Sherlock Holmes
2694,The Villain,1 hour 29 minutes,5.3,7.1K,Robert G. Kane,Barrage
2695,Devil's Knight,not-released,no-rating,0,Victor V Gelsomino,ワーキングプアⅢ.～解決への道～
2696,Ticket Out,not-released,4.7,1.1K,Suzanne Collins,Kaanadante Maayavadanu
2697,Furie,1 hour 38 minutes,6.3,4.7K,Le-Van Kiet,Beyaz Batman Anısı
2698,The Recall,1 hour 30 minutes,4.2,10K,Mauro Borrelli,Lessons In Baby Dyke Theory
2699,The Dark Side of the Moon,1 hour 27 minutes,4.9,2.6K,Carey W. Hayes,Jupiter's Thunderballs
2700,Börü,not-released,6.7,4.1K,Cem Özüduru,A Beauty in Mourning
2701,Khuda Haafiz,not-released,7.2,19K,Faruk Kabir,L'età d'oro
2702,Heropanti,2 hours 26 minutes,5.2,9.6K,Sanjeev Dutta,Mirror
2703,Aftershock,1 hour 29 minutes,4.8,12K,Nicolás López,Reich of the Reich
2704,Savage Beach,not-released,4.3,1.5K,Andy Sidaris,The King's War
2705,To End All Wars,1 hour 57 minutes,7,11K,Ernest Gordon,Sangre Violenta / Sangre Violeta
2706,The Monkey King,not-released,no-rating,0,Steve Bencich,Worlds on Fire
2707,Fit to Kill,not-released,4.1,1.2K,Andy Sidaris,Our Family Three More
2708,Sonatine,1 hour 34 minutes,7.5,21K,Takeshi Kitano,Haarlem
2709,Savage Sisters,1 hour 26 minutes,4.8,370,Harry Corner,MILF Thing 3
2710,The Jurassic Games,not-released,3.8,2.7K,Ryan Bellgardt,The Animators: Playing God
2711,F.E.A.R.,1 hour 41 minutes,3.7,481,Jason Tobias,TheEYE: Graham Gussin
2712,Dolemite,1 hour 30 minutes,5.6,6.2K,Jerry Jones,Darkness
2713,The Blue Max,2 hours 36 minutes,7.1,7K,Jack Hunter,Portrait d'une jeune femme
2714,Homo Erectus,"$99,678",3.5,1.9K,Adam Rifkin,On the Edge
2715,Never Back Down: Revolt,not-released,4,516,Audrey Arkins,I cacciatori del cielo
2716,Paradise Highway,not-released,no-rating,0,Anna Gutto,The Glasshead
2717,Alienator,not-released,3.2,1.6K,Paul Garson,The Last Fight
2718,Strategic Air Command,"$6,500,000",6.3,3.6K,Valentine Davies,Raw Ass Fuckers 2
2719,Man-Thing,"$5,000,000 (estimated)",4,6.5K,Steve Gerber,Koža
2720,New Kids Turbo,1 hour 24 minutes,6.3,16K,Flip Van der Kuil,Women Seeking Women 111
2721,Hitpig,not-released,no-rating,0,David Feiss,Check
2722,Micmacs à tire-larigot,"$42,000,000 (estimated)",7.1,30K,Jean-Pierre Jeunet,The Birth Of The Horror
2723,Bunraku,2 hours 4 minutes,6.1,20K,Boaz Davidson,Bad Habits
2724,Raees,"$3,262,954",6.6,44K,Rahul Dholakia,R.G.
2725,Dilwale,2 hours 38 minutes,5,34K,Yunus Sajawal,Alles aus Liebe
2726,Killing Season,1 hour 31 minutes,5.4,37K,Evan Daugherty,Ressaca
2727,Gun Shy,1 hour 32 minutes,4,3.1K,Mark Haskell Smith,Coming Out Bi 9
2728,Blood Games,not-released,5.4,1.2K,Jim Makichuk,Iris
2729,Steel Dawn,1 hour 40 minutes,5.1,5.1K,Doug Lefler,Beau Monde
2730,Mutant Chronicles,"$25,000,000 (estimated)",5.2,26K,Philip Eisner,The Younger
2731,The Secret Invasion,1 hour 35 minutes,5.9,1.1K,R. Wright Campbell,From Beginning to End
2732,Bullet Proof,not-released,9.6,60,Cooper Bibaud,Huge Strapon Lesbians 9
2733,Supercross,1 hour 20 minutes,4.3,4.7K,Ken Solarz,Mariyam Mukku
2734,Legionnaire,1 hour 39 minutes,5.4,24K,Sheldon Lettich,Bare Memories
2735,Vice Squad,1 hour 37 minutes,6.4,2.4K,Sandy Howard,Premier homme sur la Lune : de la conquête au complot
2736,Gunfight at Dry River,not-released,3.7,205,Fe Valen,"Sex, Marriage and Infidelity"
2737,Detective Chinatown 3,2 hours 16 minutes,5.6,1.9K,Sicheng Chen,Welcome Home
2738,The Nude Bomb,1 hour 34 minutes,5.1,3.3K,Mel Brooks,凸撃！！心霊調査隊 カチコミ
2739,The Tiger,2 hours 19 minutes,7.2,5.6K,Park Hoon-jung,Arctic Son: Fulfilling the Dream
2740,The Tiger,not-released,no-rating,0,Myroslav Slaboshpytskyi,Carl Panzram: The Spirit of Hatred and Vengeance
2741,Rollercoaster,1 hour 59 minutes,6.3,6.3K,Sanford Sheldon,Kabali
2742,Agent Cody Banks 2: Destination London,1 hour 40 minutes,4.5,15K,Jeffrey Jurgensen,Inverted Rainbow
2743,High-Ballin',1 hour 37 minutes,5.3,648,Paul F. Edwards,Positive Youth
2744,Sweet Sugar,1 hour 30 minutes,5.2,650,Don Spencer,Yogurt Lady
2745,Scorched Earth,not-released,4.5,4.9K,Kevin Leeson,Jamel Herring vs. Nick Molina
2746,The Man,1 hour 23 minutes,5.5,26K,Jim Piddock,Daddy Wanted For Christmas
2747,Grand Theft Auto,"$602,000 (estimated)",5.4,2.7K,Rance Howard,The Brainiac
2748,Across 110th Street,1 hour 42 minutes,7,6.2K,Luther Davis,Closure
2749,Dayi: Bir Adamin Hikayesi,2 hours 5 minutes,6,924,Ugur Bayraktar,Méliès' Magic Show
2750,Nekrotronic,1 hour 39 minutes,5.5,3K,Kiah Roache-Turner,"When I Was Little, My Auntie Was Like A Big Sister To Me, But Now She's A Sexy, Erotic Woman... I Had Just Learned How To Ejaculate, And Now My Orgasmic Cock Is Stuck Inside Her Pussy And There's No Way For Me To Stop This Forbidden Relationship!"
2751,The Corruptor,1 hour 50 minutes,6,18K,Robert Pucci,Ice - Kuusisto
2752,Starbright,not-released,no-rating,0,Joseph Bitonti,The Mating Game
2753,Fighter,not-released,no-rating,0,Siddharth Anand,Zombie Hunter
2754,F/X2,1 hour 48 minutes,5.8,11K,Robert T. Megginson,Tochka
2755,Justice League Part Two,not-released,no-rating,0,Chris Terrio,Hashiriya
2756,Becky 2: The Wrath of Becky,not-released,no-rating,0,Suzanne Coote,La bande des quatre
2757,Liger,not-released,no-rating,0,Puri Jagannadh,A Midnight Romance
2758,Avatar 4,not-released,no-rating,0,James Cameron,Tomboy
2759,Planet of the Dead,not-released,no-rating,0,Shay Hatten,Touch: The Forgotten Sense
2760,Samurai Cop 2: Deadly Vengeance,1 hour 34 minutes,4.2,4.4K,Rich Mallery,Ardal O'Hanlon - Live
2761,Darby's Rangers,not-released,6.3,1.4K,Guy Trosper,Return to 'The Great Escape'
2762,See No Evil 2,not-released,4.7,6.9K,Sylvia Soska,Tainted Souls
2763,Knights,not-released,4.5,2K,Albert Pyun,The 25th Filial Exemplar
2764,Revolt,1 hour 27 minutes,5.3,9.5K,Joe Miale,Big Tit Centerfolds 2
2765,Aladin,2 hours 12 minutes,4.7,3K,Vishal Dadlani,Kep1er Debut Show
2766,D.C. Cab,1 hour 40 minutes,5.5,4.8K,Topper Carew,At the Duke's Command
2767,Best of the Best II,"$7,000,000 (estimated)",5.5,5.9K,Max Strom,Eco
2768,Shootfighter II,not-released,4.7,678,Greg Mellott,Kula Kozhundhu
2769,Blankman,1 hour 32 minutes,5,9.8K,Damon Wayans,All Star Comedy Jam: Live from Dallas
2770,Righteous Blood,not-released,3.9,124,Kent Hill,Wolfsburg
2771,The Wild Angels,1 hour 33 minutes,5.7,3K,Peter Bogdanovich,Scenes at Balmoral
2772,Operation Dumbo Drop,1 hour 47 minutes,5.1,9.1K,James Morris,COOL (News from Belarus)
2773,Trancers II,not-released,5.3,2.2K,Jackson Barr,El joven del carrito
2774,Wonder Twins,not-released,no-rating,0,Adam Sztykiel,Finesse 4
2775,Crime Story,"$194,720",6.7,6.7K,Jackie Chan,Sunday Dinner
2776,Crime Story,not-released,3.7,731,Adam Lipsius,Strictly Irish Dancing
2777,Hounds of War,not-released,no-rating,0,Jean Pierre Magro,Kinngait Riding Light Into The World
2778,Trading Paint,1 hour 27 minutes,4.4,2K,Gary Gerani,Shippu no Seitarou
2779,Blue World Order,not-released,5,4.2K,Dallas Bland,Grey Feather
2780,MCA Middle Class Abbayi,2 hours 24 minutes,5.9,2.4K,Ramana Dumpala,Where Have All the Flowers Gone
2781,Methuselah,not-released,no-rating,0,Simon Beaufoy,Passage to Mars
2782,The Enemy Below,"$1,910,000 (estimated)",7.4,11K,Wendell Mayes,"Eric & Ramzy - Les mots, l'intégrale"
2783,Night Train,not-released,no-rating,0,CJ Walley,Zagreb Stories 2
2784,Regular Show: The Movie,"$3,000,000 (estimated)",7.4,4.5K,J.G. Quintel,One Rainy Afternoon
2785,One Punch Man,not-released,no-rating,0,See writer,Climate Warriors
2786,Real Steel 2,not-released,no-rating,0,John Gatins,Psychic Manjara 22
2787,Hangmen,not-released,2.8,1.1K,J. Christian Ingvordsen,Seven Deadly Sins: Wrath
2788,The January Man,1 hour 37 minutes,5.5,8.5K,John Patrick Shanley,Screw Loose Change
2789,Outpost,1 hour 30 minutes,5.8,17K,Rae Brunton,Hundred girls
2790,Knuckledust,1 hour 45 minutes,4.7,594,James Kermack,The Landlord
2791,The Gardener,not-released,3.6,317,Rebecca Matthews,Learning
2792,Sometimes a Great Notion,1 hour 54 minutes,6.9,4K,Ken Kesey,Pleasure. Love.
2793,Hellblazers,not-released,4.4,184,Justin Lee,YouChoose
2794,Reign of the Supermen,1 hour 27 minutes,6.7,14K,James Krieg,Henri & Edmond in: The New Neighbour
2795,Vault,"$29,491",5.4,2.5K,B. Dolan,She Wolf
2796,Salaar,not-released,no-rating,0,Prashanth Neel,Jack Frost
2797,Kidnapping Mr. Heineken,1 hour 35 minutes,6.1,21K,William Brookfield,Todd McFarlane: Chapter & Verse
2798,Freaks: You're One of Us,not-released,5.4,6K,Marc O. Seng,UnNamed
2799,Death Wish 4: The Crackdown,"$5,000,000 (estimated)",5.4,9.8K,Brian Garfield,Morning Musume. 2007 Autumn Solo Mitsui Aika ~Bon Kyu! Bon Kyu! BOMB~
2800,Gran Turismo,not-released,no-rating,0,See writer,Pardners
2801,Jodhaa Akbar,3 hours 33 minutes,7.5,32K,Haidar Ali,Local Life
2802,Bad Country,not-released,5.8,8.6K,Jonathan Hirschbein,Mash
2803,Avengers of Justice: Farce Wars,not-released,2.4,543,Richard Dane Scott,Anche l'asfalto suona – Un viaggio senza meta di 19'40''
2804,Jungle Run,not-released,2.8,545,Marc Gottlieb,Vampiros
2805,Pink Cadillac,2 hours 2 minutes,5.3,12K,John Eskow,Les Softies
2806,The Devil's Brigade,2 hours 10 minutes,6.7,5.6K,William Roberts,The Christmas Miracle
2807,Buck Rogers in the 25th Century,1 hour 29 minutes,6.5,6.2K,Glen A. Larson,Barbie Mariposa & the Fairy Princess
2808,Redbad,2 hours 40 minutes,5.4,2.7K,Alex van Galen,Dad's Week Off
2809,Green Ghost and the Masters of the Stone,1 hour 35 minutes,4.9,324,Charlie Clark,The Naked Room
2810,That Darn Cat,1 hour 29 minutes,4.6,4.5K,Gordon Gordon,The Balloonatic
2811,Trigger Warning,not-released,no-rating,0,John Brancato,Prince Charming
2812,The Naked Cage,1 hour 37 minutes,5.2,679,Paul Nicholas,Sisters of Death
2813,Conquest,not-released,5.2,2.4K,Giovanni Di Clemente,MasterChat GPT
2814,Amsterdamned,"$98,003",6.6,8.3K,Dick Maas,The Christmas House
2815,After School,1 hour 29 minutes,3.6,186,Hugh Parks,Mosca
2816,Khuda Haafiz Chapter II: Agni Pariksha,not-released,no-rating,0,Faruk Kabir,Heading West: A Story About a Band Called Shooglenifty
2817,Trauma Center,"$92,968",4.1,12K,Paul Da Silva,Valley of Hell
2818,Bushwick,1 hour 34 minutes,5.2,12K,Cary Murnion,Father Dan Berrigan: The Holy Outlaw
2819,Beyond the Mask,1 hour 43 minutes,5,3.4K,Paul McCusker,The Specialist
2820,Assassination,1 hour 28 minutes,5.1,3.3K,Richard Sale,The Worst Movie Ever!
2821,Assassination,2 hours 20 minutes,7.2,7K,Dong-hoon Choi,Zeta
2822,Mohenjo Daro,2 hours 35 minutes,5.6,12K,Ashutosh Gowariker,El Hadethaa Almajnonaa
2823,Ek Villain Returns,not-released,no-rating,0,Aseem Arrora,SHE
2824,The Outrage,1 hour 49 minutes,6.8,14K,Takeshi Kitano,Shiver & Shudder Show
2825,The Outrage,1 hour 36 minutes,6.2,2.2K,Michael Kanin,Médor au téléphone
2826,Lights Out,not-released,no-rating,0,Chad Law,The Carrot and the Stick
2827,Allies,1 hour 33 minutes,5.1,960,Jeremy Sheldon,Eco
2828,Gone with the West,not-released,3.1,427,Monroe Manning,X-Mix-3 - Enter Digital Reality
2829,The Butcher,not-released,5.3,837,Jesse V. Johnson,Rosalind Franklin: DNA's Dark Lady
2830,Sultan,2 hours 50 minutes,7,46K,Ali Abbas Zafar,The Highway Crossing
2831,Sultan,2 hours 25 minutes,6.2,4.3K,Bakkiyaraj Kannan,The Lovetts
2832,Start-Up,1 hour 42 minutes,6.4,868,Jeong-Yeol Choi,23:15 - Mania - Battle of the hosts
2833,Wonder Woman: Bloodlines,not-released,5.9,7K,Sam Liu,Das große Geschäft
2834,Warlock: The Armageddon,"$3,000,000 (estimated)",5.3,6.1K,Kevin Rock,Growing Pains: Puberty in Horror Films
2835,Father's Day,1 hour 39 minutes,5.7,3.1K,Jeremy Gillespie,Zaprzeczenie I
2836,Lassiter,1 hour 40 minutes,5.8,2.5K,David Taylor,"Angel Dust: [2001] Live in San Jose, CA"
2837,Naked Vengeance,1 hour 37 minutes,5.6,682,Reilly Askew,Coming Out of the Water
2838,Kindergarten Cop 2,not-released,4.4,3.9K,David H. Steinberg,The Legend of the Pope Lick Monster
2839,Officer Downe,1 hour 28 minutes,4.2,2.1K,Joe Casey,Hello Titty 2
2840,Narrow Margin,"$10,873,237",6.5,9.2K,Peter Hyams,New Jersey Pineland Legends and Landscapes
2841,Black Eagle,1 hour 33 minutes,3.8,7.4K,A.E. Peters,Cuban Colony
2842,Zero Hour!,1 hour 21 minutes,6.5,1.9K,Arthur Hailey,Tip Them the Wink
2843,Ip Man: Kung Fu Master,1 hour 24 minutes,4.5,901,Liming Li,The Creativity Experiment: Human vs AI
2844,Go Goa Gone,1 hour 51 minutes,6.6,14K,Raj Nidimoru,Young Lesbian Group
2845,I Am Vengeance: Retaliation,not-released,3.4,2.9K,Ross Boyask,The Year Between
2846,Good People,1 hour 30 minutes,5.5,16K,Marcus Sakey,Margini di sottosuolo
2847,Thugs of Hindostan,2 hours 44 minutes,4,20K,Vijay Krishna Acharya,Thacholi Othenan
2848,Terminal Velocity,1 hour 42 minutes,5.5,14K,David Twohy,Spritzende Muschis
2849,The Lovers,1 hour 49 minutes,4.5,3.3K,Ajey Jhankar,Mella
2850,The Lovers,not-released,7.1,5.4K,Louise de Vilmorin,O Baiano Fantasma
2851,The Car: Road to Revenge,not-released,4,1.1K,Michael Tabb,Nessuno
2852,Skinford: Chapter Two,not-released,6.5,42,Nik Kacevski,Battle of the Colossal Women
2853,Beastmaster 2: Through the Portal of Time,1 hour 47 minutes,4,3.3K,Andre Norton,Flip Flop 2
